n,sex,age,color_1,color_2,color_3,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,f_hair
87,F,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,F,19,65.35714286,45.02380952,32.57142857,1.31230411,1.492103456,2.369188366,0.746094107,1.548728037,0.418213748,0.005195469,0.262368503,2.292026409,1.243560127,1.141738511,1.10638612,0.63232011,0.416805058,0.455237589,0
89,F,22,77.6510989,65.54532967,64.20947802,1.434590406,0.914615958,1.654405842,0.541723811,1.292332227,0.758301001,0.590662502,0.663353387,2.182943832,1.674364614,1.531821507,1.317436158,0.703911626,0.366215026,0.459268062,0
90,M,21,76.0657277,58.92253521,53.52347418,2.503334336,0.9484175,1.763763187,0.511296791,1.128256419,1.246782192,1.405286344,1.140934283,1.654992289,2.034601035,1.269390818,1.335013812,1.786726324,0.321548632,0.466285153,1
91,F,23,81.04009009,64.61306306,60.34414414,1.360081487,1.73269856,1.874820755,0.717689633,1.783055537,0.454580612,0.365201005,0.175722832,2.348747169,1.422390572,1.51069811,1.344502255,0.428184282,0.424555679,0.450245172,0
92,M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,F,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,F,21,125.3210784,96.84558824,68.79901961,2.159730267,1.182363244,2.242799778,0.701129772,1.474779597,1.134382022,1.170711842,0.711105615,1.901574552,2.036084556,1.373677091,1.291906638,1.228815415,0.375329157,0.469149699,0
95,M,23,134.5122549,124.5294118,106.7941176,1.66051542,0.965386725,1.619902342,0.556714006,1.371851326,1.183819931,1.69613918,1.254899673,1.710517408,1.951051487,1.158434268,1.164454346,1.665637066,0.378407337,0.472048606,1
96,M,20,102.3878788,98.69090909,97.76565657,1.93847145,0.955828369,1.646153067,0.647036572,1.713671849,0.676725589,0.666854185,0.656679306,1.402654647,1.157918201,1.421851486,1.274915267,0.607759927,0.404230992,0.402833385,0
97,M,50,123.0563725,109.6985294,93.38235294,2.036262645,1.168586449,1.640466509,0.614416495,1.581157016,0.700639592,0.436695279,1.246444492,1.694519996,1.395718807,1.002082837,1.014910118,0.869387216,0.380270918,0.459012997,1
98,M,16,81.625,80.50735294,85.31127451,2.311384578,1.119607955,1.936637684,0.666481518,1.540924489,0.877522188,0.821746531,0.870647632,1.554946412,1.347556512,1.415081313,1.388172453,1.171626984,0.393008672,0.426504913,0
99,M,25,140.2225275,120.7836538,118.217033,2.429137408,1.082341384,2.328422821,0.803464728,1.753668085,1.021761582,1.049973229,0.572569147,1.790602141,1.838130081,1.166939286,1.175964839,1.085318166,0.395705444,0.474436011,0
100,M,23,113.9779412,83.84558824,71.12254902,1.530257366,1.381155511,2.088588093,0.727917769,1.652301896,0.48507005,0.267418351,0.42036211,2.471110133,1.500477887,1.345559577,1.277631232,0.555904805,0.408305366,0.46978407,1
101,F,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,M,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,F,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,F,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,M,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,M,33,125.0220588,93.15686275,57.99509804,6.84324705,1.5120622,1.738808973,0.586118034,1.39262423,1.156840821,1.298792509,4.419545903,1.505921523,1.706528947,1.191998699,1.262638217,1.464388374,1.973413286,0.451921491,1
107,F,43,141.6888889,120.6095238,102.2571429,1.719385262,0.986994306,1.792732385,0.586353266,1.357390664,0.972978256,0.893631345,1.214967876,1.806359693,1.705696355,1.175377327,1.197561962,1.079812207,0.377762049,0.458336691,0
108,F,40,123.4926471,97.68627451,84.59803922,6.465023444,1.108607162,1.966818907,0.674167264,1.547309514,0.634707337,0.099113324,0.479645716,2.320646648,1.653111788,1.222211404,1.09461133,0.496076722,1.833493774,0.480009315,0
109,F,21,144.9515152,123.0686869,102.5030303,1.52849877,1.469382761,2.191833632,0.71696002,1.551602175,1.018238041,1.031547745,1.131109674,2.005156843,2.030629051,1.233149829,1.152236957,0.678992668,0.400918944,0.483800915,0
110,F,31,114.3858586,87.01414141,74.38787879,1.765399695,1.26295664,2.178179428,0.652677393,1.359766042,1.231413097,1.831166348,1.197133157,1.36440572,1.632357365,1.08897683,1.060174639,0.640677966,0.368653747,0.439086248,0
111,F,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,F,16,96.38360656,75.72622951,73.45081967,6.761747048,1.111406327,1.941754745,0.642118912,1.453450503,1.149430948,1.279719489,1.482078355,1.440631342,1.548630409,1.22387748,1.216949634,1.14636802,1.299623436,0.433651558,0
113,M,15,121.979798,99.55959596,88.18585859,1.45012586,1.340759204,2.191985995,0.726352767,1.581915458,0.706162051,0.712412897,0.880461812,2.049348028,1.847977381,1.287676239,1.246496871,0.863488784,0.411541608,0.483648177,0
114,M,19,90.93770492,67.74918033,53.22459016,7.18482783,1.183770883,1.971257422,0.687831173,1.592396508,0.834661674,0.536984941,0.955490962,1.920248387,1.725607203,1.179368479,1.08949737,0.601497363,2.965288563,0.479917631,1
115,M,16,88.81967213,68.2295082,57.14590164,1.724984107,1.326857076,2.13840479,0.736910947,1.650185518,1.053109521,1.248701904,1.810049376,1.505586722,1.529104698,1.141943144,1.164970018,0.601569067,0.415043887,0.447195894,0
116,F,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,M,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,F,20,79.12698413,65.23809524,64.62345679,6.291954808,1.001252191,1.695379132,0.591549087,1.444469711,1.572708162,4.261198946,2.223499205,1.395904255,2.040896403,1.164728203,1.122326588,1.181221513,4.751002514,0.4593542,0
119,F,14,106.842723,85.50704225,76.89553991,1.525340486,1.380219944,1.941158647,0.711259631,1.700893639,1.463078619,2.100275482,1.998250729,1.476221672,1.898624975,1.237871041,1.315329114,1.288265939,0.420499584,0.450455863,0
120,F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,F,23,104.010101,101.2080808,106.979798,6.109835987,1.32193798,2.401827848,0.825528158,1.781580429,0.981888872,1.049665857,1.24543379,1.977717235,1.924299492,1.28089962,1.28289496,0.728959749,2.356909324,0.471543927,0
123,M,24,76.06666667,69.86031746,73.98412698,1.844634172,1.138012886,1.980337961,0.597879684,1.288923904,1.063189074,1.107376951,1.054496093,1.511875473,1.5502177,1.185704514,1.176523113,0.710170231,0.358091208,0.43914655,0
124,F,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,F,23,94.85211268,95.28521127,99.46596244,1.548161712,1.317424893,1.863216011,0.631482925,1.467908952,0.582762387,0.301130524,0.49133574,2.535212168,1.706438323,1.407366952,1.351552933,0.614468405,0.399792843,0.476533824,0
126,M,22,89.16565657,65.92525253,49.26464646,1.920304885,1.217959128,1.965165777,0.570173607,1.21194893,1.090040787,1.252138783,0.917604913,1.587797179,1.825991777,1.114490279,1.041975161,1.132578077,0.340740364,0.46694752,1
127,M,24,89.00839161,63.02937063,51.12867133,1.879453782,0.842654695,1.625721785,0.537436108,1.296679471,0.904769225,0.864536174,0.816805156,1.76487684,1.818022181,1.371055495,1.307854755,1.202942362,0.343573989,0.454223873,1
128,F,25,110.752451,88.88970588,78.71568627,6.673371096,1.454851752,2.178697446,0.781424281,1.777684872,0.789667897,0.607247796,0.834878154,1.857358409,1.650878322,1.216527331,1.116246168,0.464538609,0.83925112,0.460730098,0
129,M,32,68.73529412,43.67401961,31.20098039,1.627492948,1.106536705,1.767110755,0.630546998,1.535147824,0.879248966,0.826969827,0.880332027,1.535313351,1.546380445,1.127870091,1.076227209,0.991234305,0.375084885,0.449000798,1
130,M,17,116.8,97.07878788,72.98383838,1.779494069,1.283474853,1.800113279,0.605305077,1.418573106,0.94456256,0.914238216,1.338552687,1.535010197,1.424897119,1.258868796,1.213807277,0.582640813,0.3881851,0.43546247,1
131,M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,M,20,79.33823529,55.3627451,40.12254902,6.428859215,1.266156963,2.036826031,0.651689405,1.428788549,0.956153748,0.883456509,0.780139332,1.70487138,1.585931421,1.197899432,1.114831212,0.799956418,2.919346783,0.456261505,1
