n,sex,age,color_1,color_2,color_3,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,f_hair
210,M,29,87.07352941,57.50980392,41.82107843,1.826394367,1.007704676,1.587403327,0.575546892,1.471722559,0.844377248,0.675554281,0.931389843,1.715511459,1.45275665,1.214881103,1.228539334,1.10754495,0.377346213,0.444566061,1
211,M,19,131.3872549,112.0318627,100.3946078,1.725699516,1.131185397,1.793125781,0.612867013,1.450372328,0.908148785,0.781028699,0.932222047,1.728293612,1.43540102,1.145127148,1.191456495,0.987640126,0.366328866,0.445812629,1
212,F,21,95.54949495,85.74343434,82.57373737,6.152381731,1.085313241,1.760619741,0.649126125,1.612236337,1.59348515,4.856629393,8.930757652,1.247061091,1.758702031,1.072577029,1.049205604,1.532061238,1.623382199,0.439345311,0
213,F,25,143.3253193,106.0259204,84.08302029,1.391104121,0.869955431,1.768054032,0.559466618,1.281358559,0.62267024,0.205143722,0.149326584,2.039403621,1.680898334,1.149980188,1.062033416,1.056693489,0.348987964,0.469959433,0
214,M,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,F,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,M,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,F,22,143.4068627,137.2279412,122.1176471,1.622028959,0.882101338,1.872041017,0.636382178,1.479142673,0.821595821,0.783251705,0.841518746,1.758219771,1.742236645,1.368371212,1.267069447,0.727285985,0.383281009,0.450477665,0
218,F,19,102.1549296,77.17605634,66.0528169,6.647567366,1.248149643,1.89657717,0.610923187,1.376409343,0.513289103,0.201489533,0.155007226,2.631189301,1.481147745,1.455828813,1.272779406,0.444517725,1.544738184,0.461562553,0
219,M,21,167.1913725,140.6760784,132.2509804,2.603348416,0.9804933,1.727324439,0.621243119,1.531832704,0.981877085,1.078716402,0.796707563,1.597534146,1.685907511,1.155534941,1.149693326,1.075138357,0.363901885,0.458118494,1
220,M,22,90.67936508,67.7968254,54.53968254,1.65085406,1.223950017,1.879826311,0.641901098,1.493275726,1.148029674,1.680061038,1.472026463,1.998056013,2.019285909,1.159349072,1.096353521,0.922413793,0.387514296,0.492710818,0
221,F,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,F,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,F,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,M,26,109.5318627,82.51960784,63.875,2.26720184,1.161312279,1.861094831,0.582610132,1.30381133,1.236881559,1.08,1.055555556,1.535692756,1.756356849,1.529436101,1.403620479,0.800168812,0.355975386,0.425224799,1
225,M,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,M,25,80.33278689,55.20655738,40.09672131,1.869222085,0.951724542,1.792629707,0.568594279,1.297244538,0.818402139,0.753806263,0.65667468,1.493847511,1.379916976,1.36964608,1.250090362,0.83078425,0.342935576,0.419242981,1
227,M,24,100.0294118,100.0808824,100.7107843,1.535510662,0.980860948,1.640556069,0.601632899,1.529126935,0.691395648,0.623582067,0.510199637,1.755418663,1.446500223,1.395765219,1.232198142,0.66375687,0.368887184,0.439394086,1
228,M,23,121.2808081,92.53737374,74.96767677,1.680658652,1.465571303,2.059831299,0.752185808,1.760080767,1.151357565,1.51689612,1.248417071,1.736811678,2.040415318,1.263799058,1.218768969,0.840795241,0.410511296,0.472536262,1
229,F,21,123.5818182,95.34949495,79.93131313,1.187267048,1.067365269,2.138372748,0.645807206,1.35791942,1.222996761,1.497621172,1.935488547,1.500050666,1.76964275,1.27838701,1.226593382,0.82106414,0.373876201,0.442636494,0
230,F,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,M,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,M,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,M,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,F,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,F,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,F,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,M,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,M,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,F,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,F,24,74.91692308,58.95179487,53.37333333,1.523433989,1.266704178,1.743562,0.693881066,1.813604177,1.040006752,0.838687721,1.032262456,2.014257294,1.829057693,1.563586143,1.836799724,0.249604222,0.418930331,0.45539827,0
241,M,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,F,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,M,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,M,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,M,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,M,18,86.32352941,66.67892157,55.38235294,1.873608751,1.09672912,1.756197468,0.598289204,1.424122482,0.993491559,1.044274202,1.035280835,1.474476405,1.476187981,1.415496665,1.182832352,0.472404731,0.391888912,0.427267572,0
247,M,22,119.4383838,91.09494949,67.39191919,2.430548288,1.033257615,1.629966849,0.569505849,1.412387161,1.057961031,0.922591291,0.760904195,1.482185496,1.395484212,1.378333709,1.337938678,1.155099308,0.353198129,0.422752639,1
248,F,18,96.03174603,63.73333333,49.17142857,1.038157848,1.421849913,2.156317981,0.784998303,1.806802818,0.731051345,0.70348593,1.293309859,1.865636351,1.939071758,1.148415611,0.990639678,0.349702666,0.444573293,0.484229154,0
249,F,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,M,17,92.0952381,80.25714286,73.47301587,1.825004105,1.24024626,1.666258453,0.667263694,1.780887688,0.858630698,0.841780171,1.054763319,1.717387366,1.631159337,1.134631986,1.173627891,1.020557656,0.401986048,0.459874536,0
251,F,21,69.62937063,54.78461538,52.55104895,1.391355168,0.908167154,1.538926449,0.560967868,1.456356318,0.848527049,0.87142725,0.840295466,1.62554296,1.61345247,1.394242022,1.240041351,0.726224784,0.374550709,0.446303308,0
252,F,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,M,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,M,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,M,21,130.8970588,113.8088235,95.07352941,2.203399276,0.980658488,1.718887501,0.623310877,1.546867757,0.854748331,0.57994186,0.737111671,1.898935831,1.658240315,1.164439279,1.169828882,1.09501391,0.39966463,0.476619718,0
256,M,20,98.43921569,88.39764706,87.97019608,2.284237373,1.14578439,2.290790024,0.773202906,1.676640755,0.874852484,0.821497511,0.804168686,1.601402103,1.559718236,1.264872521,1.255489323,1.211807499,0.390507024,0.444464159,0
257,F,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,M,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,F,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,F,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,F,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,M,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,F,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,F,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,M,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,M,7,112.7493734,86.98897243,79.70426065,1.794395002,0.765388554,2.026381089,0.516881257,1.036290052,1.00814012,1.100262906,1.024488562,1.472641731,1.518787017,1.240747369,1.079942898,0.810449575,0.32810702,0.439474058,0
267,F,3,59.69400353,46.38888889,43.64462081,7.249436508,1.275375046,2.166004876,0.596371099,1.202900852,0.589014268,0.401162279,0.105860335,2.042571552,1.530592686,1.322105952,1.283220467,0.718016478,1.041411524,0.457033489,0
268,F,3,78.51408696,60.12278261,55.81252174,1.791998039,1.268599093,2.104069569,0.7420868,1.691276207,0.929947137,0.856007875,0.689299563,1.663042562,1.615092833,1.332112043,1.355167394,0.79473394,0.374821754,0.450947633,0
269,F,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,M,39,,,,,,,,,,,,,,,,,,,
